throttle,left,right,speed,input_steering,input_throttle
0.562961,0.155618,0.059265,0.110224,0.0,0.0
0.563631,0.155187,0.058768,0.020202,0.0,0.0
0.567857,0.154295,0.059241,0.104785,1.0,1.0
0.689873,0.132539,0.076481,0.201694,0.0,1.0
0.626934,0.133801,0.076169,0.46019,-1.0,1.0
1.0,0.12769,0.083671,0.839145,1.0,1.0
0.496746,0.11449,0.0986,1.042986,0.0,1.0
0.41566,0.097367,0.119804,1.273665,0.0,1.0
0.315405,0.07622,0.138072,1.376281,0.0,0.0
0.223477,0.097982,0.121415,1.256313,1.0,0.0
0.266701,0.072567,0.138428,1.094651,0.0,0.0
0.228019,0.083889,0.131009,1.118364,1.0,1.0
0.443839,0.060389,0.147318,1.128618,0.0,1.0
0.4451,0.079569,0.130846,1.259629,1.0,1.0
1.0,0.072573,0.139615,1.385901,-1.0,1.0
0.98827,0.087853,0.124347,1.525031,-1.0,1.0
0.421854,0.132719,0.091114,1.661241,1.0,1.0
0.731183,0.137015,0.079348,1.797348,0.0,1.0
0.627721,0.142231,0.07202,1.935075,0.0,1.0
0.516235,0.132307,0.079022,1.981258,0.0,0.0
0.374149,0.117776,0.094685,1.707135,1.0,0.0
0.313205,0.076559,0.146983,1.477314,0.0,0.0
0.249173,0.04795,0.159462,1.242495,0.0,0.0
0.202106,0.074592,0.140002,1.028391,1.0,0.0
0.328397,0.057411,0.146899,0.898925,0.0,1.0
0.424054,0.069277,0.138526,0.90292,0.0,1.0
0.445501,0.098514,0.117796,0.959619,0.0,1.0
0.334425,0.136269,0.092738,1.023668,1.0,1.0
0.426451,0.148502,0.076752,1.152786,1.0,1.0
0.569366,0.15742,0.064485,1.286478,1.0,1.0
0.628866,0.159706,0.056809,1.423347,0.0,1.0
0.576057,0.154931,0.057529,1.396044,0.0,1.0
0.460627,0.151745,0.060489,1.538134,0.0,1.0
0.344401,0.146314,0.065269,1.528237,1.0,0.0
0.299309,0.12311,0.088561,1.406306,1.0,0.0
0.373545,0.064813,0.169,1.250793,0.0,0.0
0.299764,0.037866,0.166935,1.153787,1.0,0.0
0.313465,0.029937,0.169904,1.100595,1.0,1.0
0.765499,0.0,0.226308,1.069385,0.0,0.0
0.573113,0.00076,0.187218,0.920571,0.0,1.0
0.494624,0.035394,0.160405,1.054348,0.0,1.0
0.429454,0.076715,0.133174,1.18429,0.0,1.0
0.40765,0.098944,0.115276,1.279949,0.0,1.0
0.318529,0.117209,0.099088,1.399725,1.0,1.0
0.320533,0.083296,0.13646,1.326715,0.0,0.0
0.241509,0.075009,0.134118,1.226793,1.0,0.0
0.252132,0.059472,0.147111,1.093116,1.0,0.0
0.259021,0.029411,0.172176,1.117408,0.0,1.0
0.174442,0.462716,0.132374,1.247443,1.0,1.0
0.165544,0.51568,0.10471,1.292431,1.0,0.0
0.182553,0.165387,0.095122,1.106146,1.0,0.0
0.250315,0.091385,0.121212,1.105283,0.0,1.0
